HE	PP	he
WAS	NP	<unknown>
CLIMBKNGBON	NP	<unknown>
YHE	NP	<unknown>
CORNER	NP	Corner
AND	CC	and
MY	NP	My
DUMBASS	NP	<unknown>
SHOT	NP	<unknown>
HIM	NP	<unknown>
WITH	NP	<unknown>
A	NP	A
NERF	NP	<unknown>
GUN	NP	Gun
,	,	,
A	DT	a
F*CKING	NP	<unknown>
NEEF	NP	Neef
GUN	NP	Gun
.	SENT	.
AND	CC	and
HES	NP	<unknown>
CRAWLING	NP	<unknown>
OB	NP	<unknown>
MY	NP	My
SINK	NP	Sink
WHAT	WP	what
DO	NP	do
I	NP	I
DOOOOOO	NP	<unknown>
