hi	UH	hi
!	SENT	!
!	SENT	!
i	NP	i
dont	NP	<unknown>
really	RB	really
feel	VBP	feel
confortable	JJ	<unknown>
talking	NN	talking
about	IN	about
this	DT	this
to	TO	to
my	PP$	my
friends	NNS	friend
because	IN	because
i	NP	i
know	VBP	know
that	IN	that
i	NNS	i
am	VBP	be
not	RB	not
alone	RB	alone
.	SENT	.
i	NP	i
recently	RB	recently
broke	VBD	break
up	RP	up
with	IN	with
my	PP$	my
ex	JJ	ex
boyfriend	NN	boyfriend
of	IN	of
5	CD	@card@
years	NNS	year
and	CC	and
even	RB	even
though	IN	though
im	NP	im
over	IN	over
the	DT	the
relationship	NN	relationship
,	,	,
i	NP	i
cannot	MD	can
help	VB	help
feeling	VBG	feel
alone	RB	alone
.	SENT	.
i	NNS	i
mean	VBP	mean
im	NP	im
in	IN	in
a	DT	a
period	NN	period
of	IN	of
a	DT	a
lot	NN	lot
of	IN	of
changes	NNS	change
,	,	,
i	NP	i
will	MD	will
soon	RB	soon
graduate	VB	graduate
from	IN	from
my	PP$	my
master	NN	master
's	POS	's
degree	NN	degree
and	CC	and
my	PP$	my
uni	NN	uni
friends	NNS	friend
will	MD	will
leave	VB	leave
the	DT	the
COUNTRY	NN	country
,	,	,
my	PP$	my
ex	JJ	ex
and	CC	and
i	NP	i
broke	VBD	break
up	RP	up
,	,	,
i	NNS	i
am	VBP	be
hesitating	VBG	hesitate
about	IN	about
going	VBG	go
abroad	RB	abroad
for	IN	for
a	DT	a
year	NN	year
as	IN	as
well	RB	well
and	CC	and
that	DT	that
means	VBZ	mean
that	IN	that
i	NP	i
will	MD	will
need	VB	need
to	TO	to
quit	VB	quit
my	PP$	my
job	NN	job
as	IN	as
well	RB	well
and	CC	and
wont	VB	wont
see	VB	see
my	PP$	my
colleagues	NNS	colleague
anymore	RB	anymore
and	CC	and
this	DT	this
is	VBZ	be
terrifying	JJ	terrifying
i	NP	i
feel	VBP	feel
like	IN	like
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
year	NN	year
i	NP	i
will	MD	will
enter	VB	enter
a	DT	a
stage	NN	stage
of	IN	of
life	NN	life
where	WRB	where
people	NNS	people
are	VBP	be
alone	RB	alone
?	SENT	?
how	WRB	how
did	VBD	do
you	PP	you
guys	VBZ	guy
cope	VB	cope
with	IN	with
the	DT	the
end	NN	end
of	IN	of
your	PP$	your
education	NN	education
?	SENT	?
