whenever	WRB	whenever
my	PP$	my
mom	NN	mom
yells	VBZ	yell
at	IN	at
me	PP	me
to	TO	to
stop	VB	stop
being	VBG	be
dramatic	JJ	dramatic
and	CC	and
acting	VBG	act
depressed	JJ	depressed
I	PP	I
feel	VBP	feel
inclined	VBN	incline
to	TO	to
grab	VB	grab
something	NN	something
sharp	JJ	sharp
and	CC	and
start	VB	start
cutting	VBG	cut
myself	PP	myself
to	TO	to
show	VB	show
her	PP$	her
im	NP	im
not	RB	not
being	VBG	be
dramatic	JJ	dramatic
and	CC	and
my	PP$	my
depression	NN	depression
is	VBZ	be
actually	RB	actually
real	JJ	real
and	CC	and
not	RB	not
just	RB	just
me	PP	me
trying	VBG	try
to	TO	to
get	VB	get
attention	NN	attention
.	SENT	.
Does	VBZ	do
anyone	NN	anyone
else	RB	else
think	VBP	think
this	DT	this
or	CC	or
am	VBP	be
i	NP	i
just	RB	just
a	DT	a
psychopath	NN	psychopath
?	SENT	?
