Hi	UH	hi
,	,	,
I	PP	I
've	VBP	have
been	VBN	be
feeling	VBG	feel
kind	NN	kind
of	IN	of
lonely	JJ	lonely
lately	RB	lately
.	SENT	.
A	DT	a
year	NN	year
ago	RB	ago
I	PP	I
moved	VBD	move
to	TO	to
a	DT	a
small	JJ	small
town	NN	town
because	IN	because
I	PP	I
moved	VBD	move
in	IN	in
with	IN	with
my	PP$	my
partner	NN	partner
.	SENT	.
I	PP	I
never	RB	never
had	VBD	have
friends	NNS	friend
,	,	,
I	PP	I
mostly	RB	mostly
hanged	VBD	hang
out	RP	out
with	IN	with
my	PP$	my
family	NN	family
,	,	,
but	CC	but
after	IN	after
my	PP$	my
mom	NN	mom
's	VBZ	be
passing	VBG	pass
2	CD	@card@
years	NNS	year
ago	RB	ago
I	PP	I
slowly	RB	slowly
drifted	VBD	drift
away	RP	away
.	SENT	.
Now	RB	now
I	PP	I
live	VBP	live
almost	RB	almost
200	CD	@card@
km	NN	<unknown>
away	RB	away
from	IN	from
everyone	NN	everyone
I	PP	I
know	VBP	know
.	SENT	.
I	PP	I
tried	VBD	try
making	VBG	make
friends	NNS	friend
here	RB	here
,	,	,
I	PP	I
took	VBD	take
ukelele	NN	ukelele
classes	NNS	class
,	,	,
started	VBD	start
pilates	NNS	<unknown>
and	CC	and
also	RB	also
going	VBG	go
to	TO	to
the	DT	the
gym	NN	gym
,	,	,
but	CC	but
this	DT	this
being	VBG	be
a	DT	a
small	JJ	small
town	NN	town
everyone	NN	everyone
knows	VBZ	know
each	DT	each
other	JJ	other
and	CC	and
it	PP	it
is	VBZ	be
not	RB	not
very	RB	very
welcoming	VBG	welcome
.	SENT	.
It	PP	it
's	VBZ	be
hard	JJ	hard
for	IN	for
me	PP	me
to	TO	to
go	VB	go
visit	VB	visit
my	PP$	my
family	NN	family
regularly	RB	regularly
because	IN	because
I	PP	I
cannot	MD	can
drive	VB	drive
(	(	(
I	PP	I
have	VBP	have
no	DT	no
license	NN	license
and	CC	and
driving	NN	driving
terrifies	VBZ	terrify
me	PP	me
)	)	)
.	SENT	.
During	IN	during
the	DT	the
first	JJ	first
couple	NN	couple
of	IN	of
months	NNS	month
I	PP	I
took	VBD	take
a	DT	a
bus	NN	bus
regularly	RB	regularly
to	TO	to
see	VB	see
them	PP	them
,	,	,
but	CC	but
it	PP	it
drained	VBD	drain
me	PP	me
.	SENT	.
I	PP	I
do	VBP	do
n't	RB	n't
regret	VB	regret
moving	VBG	move
here	RB	here
,	,	,
I	PP	I
love	VBP	love
my	PP$	my
partner	NN	partner
,	,	,
but	CC	but
he	PP	he
works	VBZ	work
rotative	JJ	rotative
12	CD	@card@
hours	NNS	hour
shifts	NNS	shift
so	IN	so
we	PP	we
barely	RB	barely
see	VBP	see
each	DT	each
other	JJ	other
.	SENT	.
I	PP	I
would	MD	would
really	RB	really
like	VB	like
to	TO	to
have	VB	have
some	DT	some
virtual	JJ	virtual
buddies	NNS	buddy
to	TO	to
chat	VB	chat
with	IN	with
,	,	,
video	JJ	video
call	NN	call
,	,	,
watch	NN	watch
movies	NNS	movie
or	CC	or
shows	NNS	show
,	,	,
play	NN	play
videogames	NNS	<unknown>
,	,	,
but	CC	but
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
any	DT	any
platform	NN	platform
I	PP	I
can	MD	can
get	VB	get
into	IN	into
to	TO	to
know	VB	know
people	NNS	people
.	SENT	.
Any	DT	any
recommendations	NNS	recommendation
?	SENT	?
I	PP	I
tried	VBD	try
randochat	NN	<unknown>
but	CC	but
connections	NNS	connection
are	VBP	be
rare	JJ	rare
there	RB	there
.	SENT	.
