Let	NP	Let
's	POS	's
say	VBP	say
you	PP	you
have	VBP	have
a	DT	a
neighbour	NN	neighbour
who	WP	who
you	PP	you
really	RB	really
like	VBP	like
.	SENT	.
He	PP	he
's	VBZ	be
a	DT	a
nice	JJ	nice
person	NN	person
,	,	,
you	PP	you
like	VBP	like
to	TO	to
speak	VB	speak
with	IN	with
him	PP	him
when	WRB	when
you	PP	you
see	VBP	see
him	PP	him
;	:	;
you	PP	you
enjoy	VBP	enjoy
his	PP$	his
company	NN	company
when	WRB	when
you	PP	you
meet	VBP	meet
him	PP	him
at	IN	at
a	DT	a
party	NN	party
;	:	;
you	PP	you
are	VBP	be
glad	JJ	glad
when	WRB	when
he	PP	he
is	VBZ	be
present	JJ	present
at	IN	at
a	DT	a
local	JJ	local
community	NN	community
gathering	NN	gathering
,	,	,
because	IN	because
he	PP	he
always	RB	always
has	VBZ	have
something	NN	something
clever	JJ	clever
or	CC	or
funny	JJ	funny
to	TO	to
say	VB	say
.	SENT	.
And	CC	and
yet	RB	yet
,	,	,
you	PP	you
would	MD	would
n't	RB	n't
like	VB	like
to	TO	to
be	VB	be
in	IN	in
a	DT	a
relationship	NN	relationship
with	IN	with
him	PP	him
,	,	,
you	PP	you
would	MD	would
n't	RB	n't
like	VB	like
to	TO	to
live	VB	live
in	IN	in
one	CD	one
flat	RB	flat
with	IN	with
him	PP	him
,	,	,
you	PP	you
would	MD	would
n't	RB	n't
like	VB	like
to	TO	to
travel	VB	travel
somewhere	RB	somewhere
with	IN	with
him	PP	him
,	,	,
you	PP	you
do	VBP	do
n't	RB	n't
invite	VB	invite
him	PP	him
for	IN	for
your	PP$	your
birthday	NN	birthday
.	SENT	.
You	PP	you
just	RB	just
do	VBP	do
n't	RB	n't
want	VB	want
him	PP	him
to	TO	to
be	VB	be
a	DT	a
part	NN	part
of	IN	of
your	PP$	your
life	NN	life
.	SENT	.
Does	VBZ	do
anyone	NN	anyone
else	RB	else
here	RB	here
feel	VB	feel
similarly	RB	similarly
?	SENT	?
Because	IN	because
I	PP	I
do	VBP	do
.	SENT	.
Everyone	NN	everyone
likes	VBZ	like
me	PP	me
...	:	...
but	CC	but
no	DT	no
one	CD	one
really	RB	really
wants	VBZ	want
me	PP	me
in	IN	in
their	PP$	their
life	NN	life
.	SENT	.
