Why	WRB	why
do	VBP	do
i	NNS	i
feel	VBP	feel
so	RB	so
lonely	JJ	lonely
if	IN	if
i	NP	i
have	VBP	have
friends	NNS	friend
?	SENT	?
In	IN	in
reality	NN	reality
seeing	VBG	see
people	NNS	people
makes	VBZ	make
me	PP	me
feel	VBP	feel
a	DT	a
deep	JJ	deep
feeling	NN	feeling
of	IN	of
loneliness	NN	loneliness
.	SENT	.
It	PP	it
's	VBZ	be
an	DT	an
endless	JJ	endless
spiral	NN	spiral
,	,	,
i	NNS	i
feel	VBP	feel
lonely	JJ	lonely
but	CC	but
i	NP	i
ca	MD	ca
n't	RB	n't
make	VB	make
new	JJ	new
friends	NNS	friend
because	IN	because
it	PP	it
feels	VBZ	feel
weird	JJ	weird
for	IN	for
me	PP	me
.	SENT	.
Yet	RB	yet
I	PP	I
do	VBP	do
need	VB	need
at	IN	at
least	JJS	least
someone	NN	someone
to	TO	to
talk	VB	talk
to	TO	to
but	CC	but
i	NP	i
ca	MD	ca
n't	RB	n't
find	VB	find
this	DT	this
one	CD	one
person.	NN	<unknown>
.	SENT	.
