Today	NN	today
I	PP	I
went	VBD	go
back	RB	back
on	IN	on
those	DT	those
dating	VBG	date
sites	NNS	site
,	,	,
and	CC	and
it	PP	it
reminded	VBD	remind
me	PP	me
of	IN	of
how	WRB	how
socially	RB	socially
awkward	JJ	awkward
I	PP	I
am	VBP	be
.	SENT	.
I	PP	I
came	VBD	come
here	RB	here
to	TO	to
remind	VB	remind
myself	PP	myself
of	IN	of
how	WRB	how
nice	JJ	nice
I	PP	I
used	VBD	use
to	TO	to
feel	VB	feel
in	IN	in
my	PP$	my
own	JJ	own
skin	NN	skin
.	SENT	.
When	WRB	when
I	PP	I
can	MD	can
just	RB	just
sit	VB	sit
back	RB	back
on	IN	on
my	PP$	my
own	JJ	own
somewhere	RB	somewhere
in	IN	in
public	NN	public
and	CC	and
be	VB	be
myself	PP	myself
by	IN	by
myself	PP	myself
and	CC	and
have	VB	have
my	PP$	my
own	JJ	own
confidence	NN	confidence
,	,	,
do	VBP	do
new	JJ	new
things	NNS	thing
almost	RB	almost
every	DT	every
day	NN	day
,	,	,
and	CC	and
feel	VBP	feel
like	IN	like
I	PP	I
can	MD	can
almost	RB	almost
lift	VB	lift
the	DT	the
whole	JJ	whole
world	NN	world
by	IN	by
myself	PP	myself
.	SENT	.
I	PP	I
miss	VBP	miss
these	DT	these
times	NNS	time
...	:	...
I	PP	I
miss	VBP	miss
being	NN	being
myself	PP	myself
...	:	...
Is	VBZ	be
it	PP	it
self-love	NN	self-love
that	IN	that
I	PP	I
'm	VBP	be
doing	VBG	do
wrong	JJ	wrong
?	SENT	?
Or	CC	or
do	VBP	do
I	PP	I
need	VBP	need
to	TO	to
go	VB	go
out	RB	out
and	CC	and
have	VB	have
a	DT	a
nice	JJ	nice
time	NN	time
alone	RB	alone
,	,	,
or	CC	or
to	TO	to
go	VB	go
and	CC	and
travel	VB	travel
to	TO	to
another	DT	another
country	NN	country
by	IN	by
myself	PP	myself
to	TO	to
declare	VB	declare
to	TO	to
the	DT	the
whole	JJ	whole
world	NN	world
that	IN	that
I	PP	I
can	MD	can
do	VB	do
everything	NN	everything
on	IN	on
my	PP$	my
own	JJ	own
...	:	...
That	DT	that
's	VBZ	be
actually	RB	actually
how	WRB	how
I	PP	I
used	VBD	use
to	TO	to
be	VB	be
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
teenager	NN	teenager
.	SENT	.
To	TO	to
have	VB	have
a	DT	a
nice	JJ	nice
time	NN	time
by	IN	by
myself	PP	myself
to	TO	to
get	VB	get
out	RP	out
of	IN	of
my	PP$	my
comfort	NN	comfort
zone	NN	zone
,	,	,
even	RB	even
if	IN	if
it	PP	it
's	VBZ	be
a	DT	a
pain	NN	pain
in	IN	in
the	DT	the
ass	NN	ass
,	,	,
but	CC	but
to	TO	to
live	VB	live
it	PP	it
and	CC	and
feel	VBP	feel
good	JJ	good
at	IN	at
the	DT	the
end	NN	end
?	SENT	?
If	IN	if
your	PP$	your
answer	NN	answer
is	VBZ	be
"	``	"
LOL	NP	<unknown>
,	,	,
get	VBP	get
a	DT	a
girlfriend	NN	girlfriend
!	SENT	!
"	``	"
Then	RB	then
I	PP	I
would	MD	would
say	VB	say
this	DT	this
:	:	:
Do	VBP	do
you	PP	you
know	VBP	know
how	WRB	how
many	JJ	many
times	NNS	time
I	PP	I
've	VBP	have
tried	VBN	try
?	SENT	?
It	PP	it
never	RB	never
works	VBZ	work
,	,	,
I	PP	I
just	RB	just
suck	VBP	suck
!	SENT	!
Or	CC	or
the	DT	the
people	NNS	people
suck	VBP	suck
,	,	,
I	PP	I
do	VBP	do
n't	RB	n't
think	VB	think
I	PP	I
like	IN	like
the	DT	the
chicks	NNS	chick
at	IN	at
the	DT	the
dating	VBG	date
sites	NNS	site
either	RB	either
,	,	,
they	PP	they
all	RB	all
expect	VBP	expect
you	PP	you
to	TO	to
put	VB	put
on	IN	on
a	DT	a
show	NN	show
for	IN	for
them	PP	them
,	,	,
I	PP	I
'm	VBP	be
not	RB	not
a	DT	a
performer	NN	performer
from	IN	from
the	DT	the
circus	NN	circus
,	,	,
my	PP$	my
life	NN	life
is	VBZ	be
a	DT	a
joke	NN	joke
,	,	,
but	CC	but
I	PP	I
would't	VBD	<unknown>
put	VBN	put
on	IN	on
a	DT	a
show	NN	show
for	IN	for
some	DT	some
chick	NN	chick
just	RB	just
to	TO	to
get	VB	get
her	PP	her
to	TO	to
like	VB	like
me	PP	me
.	SENT	.
All	DT	all
of	IN	of
them	PP	them
are	VBP	be
all	RB	all
flashy	JJ	flashy
and	CC	and
so	RB	so
fast	RB	fast
,	,	,
I	PP	I
just	RB	just
ca	MD	ca
n't	RB	n't
keep	VB	keep
up	RP	up
.	SENT	.
