hey	UH	hey
guys	NNS	guy
im	NP	im
a	DT	a
19M	NN	<unknown>
,	,	,
i	NNS	i
guess	VBP	guess
i	NNS	i
’ve	VBP	have
always	RB	always
been	VBN	be
a	DT	a
loser	NN	loser
,	,	,
facing	VBG	face
discrimination	NN	discrimination
from	IN	from
people	NNS	people
around	IN	around
me	PP	me
,	,	,
including	VBG	include
family	NN	family
.	SENT	.
This	DT	this
has	VBZ	have
affected	VBN	affect
my	PP$	my
self-worth	NN	self-worth
and	CC	and
made	VBD	make
me	PP	me
overthink	VBP	<unknown>
things	NNS	thing
a	DT	a
lot	NN	lot
.	SENT	.
I	PP	I
've	VBP	have
tried	VBN	try
making	VBG	make
friends	NNS	friend
online	JJ	online
through	IN	through
games	NNS	game
,	,	,
but	CC	but
it	PP	it
has	VBZ	have
n't	RB	n't
worked	VBN	work
out	RP	out
.	SENT	.
I	PP	I
've	VBP	have
been	VBN	be
alone	RB	alone
most	JJS	most
of	IN	of
my	PP$	my
life	NN	life
and	CC	and
struggle	NN	struggle
to	TO	to
communicate	VB	communicate
with	IN	with
others	NNS	other
,	,	,
which	WDT	which
makes	VBZ	make
it	PP	it
hard	JJ	hard
to	TO	to
make	VB	make
friends	NNS	friend
.	SENT	.
I	PP	I
just	RB	just
want	VBP	want
someone	NN	someone
to	TO	to
be	VB	be
there	RB	there
for	IN	for
me	PP	me
and	CC	and
for	IN	for
me	PP	me
to	TO	to
be	VB	be
there	RB	there
for	IN	for
them	PP	them
.	SENT	.
I	PP	I
hope	VBP	hope
to	TO	to
find	VB	find
a	DT	a
real	JJ	real
connection	NN	connection
with	IN	with
another	DT	another
loser	NN	loser
who	WP	who
feels	VBZ	feel
the	DT	the
same	JJ	same
way	NN	way
.	SENT	.
if	IN	if
its	PP$	its
even	RB	even
possible	JJ	possible
,	,	,
a	DT	a
girl	NN	girl
would	MD	would
be	VB	be
cool	JJ	cool
