_NAME_,Factor1,Factor2,Factor3,loaded,factor,pole
v000100,-0.050004479,0.2182709284,0.1404582954,0,,
v000101,0.3265636773,0.3603214594,0.0643441377,1,fac2,1
v000102,-0.000763315,0.1396823704,-0.238852158,0,,
v000103,-0.115393095,0.3454464357,0.6295158848,1,fac3,1
v000104,0.4650336166,-0.028958248,0.0354704537,1,fac1,1
v000105,0.0526735001,0.2965623572,0.2405320412,0,,
v000106,-0.019115525,0.5184378672,0.0378591825,1,fac2,1
v000107,0.139532692,0.1256219357,0.2857247268,0,,
v000108,0.2359809323,-0.081211494,-0.443659814,1,fac3,-1
v000109,-0.150803947,0.2717512328,-0.252096092,0,,
v000110,0.4787438338,0.4055309186,0.0737644485,1,fac1,1
v000111,0.1414720056,-0.112519616,-0.065941675,0,,
v000112,-0.041763276,0.4343733344,0.1987437829,1,fac2,1
v000113,-0.116038953,0.479582694,0.1727983325,1,fac2,1
v000114,0.1534284569,0.415491444,0.0779452168,1,fac2,1
v000115,0.5198128955,-0.40616923,-0.223077967,1,fac1,1
v000116,0.7083075942,0.2149666322,0.0985561231,1,fac1,1
v000117,-0.064612414,0.1068196839,0.9636616789,1,fac3,1
v000118,0.2960183897,0.4045585507,0.1188681897,1,fac2,1
v000119,0.0185701439,0.304007217,0.3070089936,1,fac3,1
v000120,0.6961656946,-0.052639043,0.0882825619,1,fac1,1
v000121,0.050939003,0.4846860861,-0.047325572,1,fac2,1
v000122,0.3804239661,0.2566692274,0.1014176467,1,fac1,1
v000123,-0.041349165,0.3829437062,0.2542162868,1,fac2,1
v000124,0.370022847,0.1662132535,0.1229858956,1,fac1,1
v000125,0.4370573445,0.1631363635,-0.032687246,1,fac1,1
v000126,0.074298317,0.3858727206,0.0915005513,1,fac2,1
v000127,0.2132496983,0.3497465068,-0.0464286,1,fac2,1
v000128,0.0187281016,0.3269088315,0.1037230633,1,fac2,1
v000129,0.6233730446,0.1126783971,-0.007318002,1,fac1,1
v000130,-0.185036403,0.7305915695,-0.268884063,1,fac2,1
v000131,0.0575942422,0.2881305026,0.3343008371,1,fac3,1
v000132,0.5224468002,0.0352230171,-0.124028575,1,fac1,1
v000133,-0.032210328,0.5195274766,-0.103565566,1,fac2,1
v000134,0.0032719974,0.5181263918,0.0731013467,1,fac2,1
v000135,0.381308266,0.1921991691,-0.020947137,1,fac1,1
v000136,0.2582021934,0.2619733686,-0.035873441,0,,
v000137,0.6152751457,-0.000332726,0.0536797659,1,fac1,1
v000138,0.323143364,0.1599020112,-0.098609091,1,fac1,1
v000139,0.2863469515,0.1438272573,0.2178928271,0,,
v000140,0.0996054637,0.4223951393,0.0843850458,1,fac2,1
v000141,0.0822755682,0.3165922617,-0.059483294,1,fac2,1
v000142,0.1853013566,0.3644454724,-0.02923443,1,fac2,1
v000143,0.1335221247,0.386204945,-0.141641897,1,fac2,1
v000144,0.0365066437,0.2668444873,0.0757031611,0,,
v000145,0.2749341868,0.2305202778,-0.139721616,0,,
v000146,-0.088982367,0.3835176134,-0.19402958,1,fac2,1
v000147,0.2846087948,0.0056327905,0.0325990689,0,,
v000148,0.5068691093,-0.324662117,0.0910994096,1,fac1,1
v000149,0.485304727,0.1201520186,-0.096121629,1,fac1,1
v000150,0.37157291,0.0297329769,-0.133998378,1,fac1,1
v000151,0.1090747457,0.3625170325,-0.024173711,1,fac2,1
v000152,0.3080607708,-0.196979124,-0.373254012,1,fac3,-1
v000153,0.4525981854,-0.005784026,0.0802697721,1,fac1,1
v000154,0.4580475468,0.0866801442,-0.006746604,1,fac1,1
v000155,-0.139163563,0.6156907876,-0.015809232,1,fac2,1
v000156,0.5327085027,0.2518612167,0.1180289498,1,fac1,1
v000157,0.5462927204,-0.005789638,0.1021340443,1,fac1,1
v000158,0.5965032755,-0.16552092,-0.125305394,1,fac1,1
v000159,0.4558356026,0.2261010753,-0.16448281,1,fac1,1
v000160,0.2587234171,0.3110882611,0.0195589146,1,fac2,1
v000161,0.361089682,0.4241754942,-0.140600601,1,fac2,1
v000162,0.6571187777,0.1224001516,-0.01731123,1,fac1,1
v000163,0.5763495977,0.0167528708,-0.028500511,1,fac1,1
v000164,0.1844691818,0.3855284316,0.0715185471,1,fac2,1
v000165,0.2394421771,0.3187418799,0.0045930266,1,fac2,1
v000166,0.4408496716,0.1017646765,0.0880413951,1,fac1,1
v000167,0.6503853486,0.1533917298,0.0127988873,1,fac1,1
v000168,0.570143487,-0.215333182,0.1073306517,1,fac1,1
v000169,0.6977529017,0.1717341574,-0.247146677,1,fac1,1
v000170,0.2948587827,0.2634857128,0.0303564915,0,,
v000171,0.250272805,0.2991672709,-0.099374947,0,,
v000172,0.1644618277,0.2753467977,-0.006795715,0,,
v000173,-0.240603706,0.3072360035,0.1971050366,1,fac2,1
v000174,0.4546813503,0.2810437148,0.0098601052,1,fac1,1
v000175,0.0388981065,0.5035998016,0.0085287892,1,fac2,1
v000176,0.1387729187,0.4888019509,-0.036876505,1,fac2,1
v000177,0.512893951,-0.093714525,-0.082966991,1,fac1,1
v000178,-0.111681725,0.5020730549,0.0280363573,1,fac2,1
v000179,0.075683864,-0.623888246,-0.353977168,1,fac2,-1
v000180,0.4709761681,0.4273015865,-0.037035548,1,fac1,1
v000181,-0.077018044,0.4440439364,0.2804895822,1,fac2,1
v000182,0.0244133703,0.387844191,0.0643246003,1,fac2,1
v000183,0.2669172318,0.2828902497,0.0127897574,0,,
v000184,0.1744298625,0.3883271318,-0.017318497,1,fac2,1
v000185,0.4964540269,0.0266571361,0.0590903491,1,fac1,1
v000186,0.144105266,0.3740149131,0.0540486041,1,fac2,1
v000188,-0.107397747,0.6096656722,-0.187974513,1,fac2,1
v000189,0.5338116913,0.1700192306,-0.026675341,1,fac1,1
v000190,0.6094502328,-0.254897335,0.0507022971,1,fac1,1
v000191,0.1361275303,0.1990786904,0.0271152722,0,,
v000192,0.3791951063,-0.00740636,-0.090911314,1,fac1,1
v000193,0.2984162649,-0.000017181,-0.489995998,1,fac3,-1
v000194,-0.0058213,0.4546253466,0.2749364881,1,fac2,1
v000195,0.3766817813,0.1766544188,-0.06225604,1,fac1,1
v000196,0.2240006383,0.3356937158,0.1746449961,1,fac2,1
v000197,0.4560362278,0.3598495343,-0.044118774,1,fac1,1
v000198,0.561872116,0.1688930494,0.0217665796,1,fac1,1
v000199,0.4434932844,0.0184523273,-0.277621134,1,fac1,1
v000200,0.4178244215,0.1969314495,0.0111913943,1,fac1,1
v000201,0.3908521503,0.3752875353,-0.024907111,1,fac1,1
v000202,0.4021182588,-0.081953565,0.2079628409,1,fac1,1
v000203,0.3136133789,0.3038059662,0.0440331832,1,fac1,1
v000204,0.4636476275,-0.301723047,-0.285701168,1,fac1,1
v000205,0.0597463694,0.3457186242,0.0836729469,1,fac2,1
v000206,0.2937104588,0.1736782725,0.1810147175,0,,
v000207,0.4986988864,-0.089117605,0.0440719718,1,fac1,1
v000208,0.2957951417,0.0089998735,0.1130456079,0,,
v000209,0.5688597338,-0.522955206,-0.045810493,1,fac1,1
v000210,0.3196128571,-0.295384243,-0.231865715,1,fac1,1
v000211,0.4713304541,0.0847741756,-0.005007525,1,fac1,1
v000212,0.4345566401,0.1617102974,0.0010435814,1,fac1,1
v000213,0.3063720838,0.2221699141,0.0176421452,1,fac1,1
v000214,0.5799180178,-0.215374662,0.0298785639,1,fac1,1
v000215,0.5705975597,-0.687328169,0.4412147365,1,fac2,-1
v000216,0.3281336731,0.1791156023,-0.072161991,1,fac1,1
v000217,0.5659811058,0.087504202,0.1205111441,1,fac1,1
v000218,0.1842602856,0.3974243148,0.1029034186,1,fac2,1
v000219,0.3041382648,0.1234125112,-0.175726188,1,fac1,1
v000220,0.425042019,-0.385932971,-0.293165426,1,fac1,1
v000221,0.4196520536,0.2511015103,-0.014465691,1,fac1,1
v000222,0.5682402519,0.0290602344,-0.056944416,1,fac1,1
v000226,0.5732183343,0.086211103,-0.02631758,1,fac1,1
v000227,-0.131109081,0.5490929395,-0.181508157,1,fac2,1
v000228,0.7824148248,-0.01111182,-0.173912602,1,fac1,1
v000229,-0.033805118,0.5623533114,0.1227222435,1,fac2,1
v000230,0.5730834661,0.2067038365,-0.034966919,1,fac1,1
v000231,0.2791884521,0.2438556819,0.0089440838,0,,
v000232,0.2740242425,0.2328278638,0.0041869132,0,,
v000233,0.5668340469,-0.024118532,-0.28732279,1,fac1,1
v000234,0.2904279079,-0.224590358,-0.326512645,1,fac3,-1
v000235,0.4840946044,0.2490254533,0.0395822216,1,fac1,1
v000236,0.6416789782,-0.27176312,0.1701662239,1,fac1,1
v000237,0.5313229432,-0.289573899,0.0687774815,1,fac1,1
v000238,0.3755892923,0.2853668657,-0.008635812,1,fac1,1
v000239,0.5062963018,-0.042321784,0.1049448615,1,fac1,1
v000240,0.318326747,-0.067188734,-0.064091724,1,fac1,1
v000241,0.2361284319,0.2912029487,-0.05069455,0,,
v000242,0.4855033245,-0.032376824,-0.263635193,1,fac1,1
