Dependent	HypothesisType	Source	DF	SS	MS	FValue	ProbF
fac2	1	prompt	2	48973.32977	24486.66488	1302.29	<.0001
fac2	3	prompt	2	48973.32977	24486.66488	1302.29	<.0001
