Strata	Text Count	Word Count
ai	5710	2081988
human	2855	993324

generic_gpt	2855	1039056
human	2855	993324
summary_guided_gpt	2855	1042932

# Source/Model breakdown
ai/generic_gpt	2855	1039056
ai/summary_guided_gpt	2855	1042932
human/human	2855	993324

00	27	7329
01	30	9258
02	30	10038
03	30	12174
04	30	4719
05	30	11880
06	30	6993
07	30	4704
08	30	4974
09	30	7971
10	330	129624
11	330	109338
12	330	123804
13	330	122670
14	330	125520
15	330	119634
16	330	129396
17	330	132429
18	330	131571
19	330	117045
20	330	117138
21	330	120627
22	330	118527
23	330	112689
24	330	125484
25	330	125742
26	330	109446
27	330	107193
28	198	68406
29	30	8223
30	30	6711
31	30	12558
32	30	12510
33	30	7038
34	30	9297
35	30	10707
36	30	9744
37	30	7527
38	30	14286
39	30	9309
40	30	11799
41	30	8361
42	30	11520
43	30	9513
44	30	13896
45	30	16230
46	30	15021
47	30	7332
48	30	8625
49	30	6504
50	30	5292
51	30	11013
52	30	7314
53	30	9663
54	30	11970
55	30	13422
56	30	13905
57	30	13785
58	30	15486
59	30	11646
60	30	7047
61	30	9885
62	30	10716
63	30	11682
64	30	9096
65	30	15393
66	30	11808
67	30	10227
68	30	10299
69	30	5790
70	30	8349
71	30	4653
72	30	11955
73	30	16233
74	30	11142
75	30	6831
76	30	11826
77	30	11958
78	30	9051
79	30	11220
80	30	11688
81	30	8676
82	30	10767
83	30	9327
84	30	11046
85	30	10260
86	30	11037
87	30	12657
88	30	12501
89	30	7224
90	30	8208
91	30	12195
92	30	7458
93	30	6327
94	30	9975
95	30	10380
96	30	11688
97	30	13767
98	30	10863
99	30	17577

overall	8565	3075312
